Age,AK2015,AK2014,AK2013,AK2012,AK2011,AK2011to2015,"Just testing data - not official at all - AK PFD-based out-migration, adjusted for deaths - EddieH, Sept 2018"
80,0.045112782,0.036555143,0.032818533,0.052179657,0.005340454,0.034214003,
81,0.034083601,0.032885906,0.02734108,0.029371585,0.032586558,0.030191257,
82,0.021354934,0.026686434,0.043668122,0.029774873,0.023089172,0.02832244,
83,0.035171863,0.021159875,0.047581903,0.049586777,0.025618375,0.035371901,
84,0.029596413,0.033043478,0.040703053,0.029585799,0.022727273,0.031755424,
85,0.043071161,0.045816733,0.011627907,0.061043285,0.010215664,0.029078801,
86,0.029063509,0.045454545,0.030267753,0.034924331,0.028186275,0.037485448,
87,0.021798365,0.034383954,0.040502793,0.049490539,0.000001,0.029112082,
88,0.0432,0.054602184,0.011437908,0.044850498,0.020408163,0.03089701,
89,0.032534247,0.036906854,0.02688172,0.044827586,0.033519553,0.036551724,
90,0.04076851,0.038986355,0.038124678,0.047149123,0.008583691,0.034210526,
